series,代码,名称,市盈率,市净率,每股收益,每股净资产,净资产收益率,每股经营现金,每股公积金,每股未分配,股东权益比,净利润同比,主营收入同比,销售毛利率,调整每股净资,总资产,固定资产,总负债,股东权益,资本公积金,经营现金流量,投资现金流量,现金增加额,主营收入,主营利润,营业利润,利润总额,净利润,未分配利润,总股本,无限售股合计,A股,BBI,ARBR,KDJ,BOLL,OBV,BIAS,MACD,MA,PSY,WVAD,CD,MI,DMI-QLL,ABV,Z-SCORE,122日涨幅,122日振幅,122日换手,122日总量,92日涨幅,92日振幅,92日换手,92日总量,GB
1738,'002545',东方铁塔,749.864,2.27,0.0161,5.317,0.0031,-0.0768,3.45,0.521,64.907,23.74,24.34,23.025,5.294,1078441,223226,375509,699983,454167,-10110,4623,-10564,42119,8761,2181,2199,2126,68644,131640,28063,28063,12.23,119.326,48.475,12.256,14232265,-0.3,0.101,12.142,33.333,15231.953,0.583,-0.42,16.327,568.977,1.312,0.0419,0.2635,1.3722,3850857,0.1757,0.2973,0.9689,2718856,0.192
1540,'002321',华英农业,638.161,2.284,0.0162,4.526,0.0036,-0.896,3.022,0.429,35.381,-12.22,77.37,10.873,4.524,683419,168227,408989,241801,161469,-47881,-12804,20605,69212,7003,1505,1653,866,22903,53429,42346,42346,10.548,104.885,35.029,10.78,29385532,0.128,-0.081,10.394,33.333,-83109.359,-0.282,-0.48,4.519,1173.945,0.625,-0.0396,0.175,2.0414,8644570,0.0068,0.1371,1.3747,5821251,0.035
1167,'000833',贵糖股份,492.578,2.04,0.0164,3.961,0.0042,-0.382,2.009,0.814,75.511,290.1,-5.75,16.639,3.948,350589,72080,85857,264732,134249,-25555,-1285,-14907,34945,5114,144,1281,1096,54441,66840,37809,37809,7.798,150.806,70.057,7.53,61480116,4.778,0.146,7.778,66.667,282647.375,0.439,0.68,46.199,2456.393,2.533,-0.1246,0.2707,1.3165,4977564,-0.0037,0.2274,1.016,3841210,-0.066
2103,'300141',和顺电气,534.257,2.514,0.0166,2.8,0.0061,-0.0089,0.876,0.809,76.587,564.38,139.27,22.49,2.798,92651,9313,20210,70959,30277,-224,-277,-557,12142,2668,560,574,415,21085,25045,16285,16285,11.752,138.314,13.614,12.48,11105432,-4.545,-0.327,11.048,33.333,195620.141,-1.377,-2.09,8.165,444.574,3.311,-0.3186,0.3692,1.763,2871059,-0.1887,0.2935,1.4506,2362295,-0.262
2195,'300253',卫宁健康,204.991,2.182,0.0169,1.563,0.0109,-0.0802,0.193,0.33,74.81,21.68,24.46,42.674,1.561,341409,39637,79744,255407,106640,-12827,-3036,-7930,16729,6984,-601,2130,2696,58173,159905,114221,114221,7.105,51.841,11.38,7.643,32573898,-2.315,-0.322,6.708,8.333,-580185.5,-2.026,-1.31,5.945,1303.843,2.489,-0.3167,0.3273,0.818,9343039,-0.2488,0.2817,0.626,7150475,-0.296
1323,'002060',粤 水 电,116.32,0.864,0.017,2.264,0.0077,-0.305,0.541,0.618,17.144,5.17,-7.25,10.674,2.238,1605290,606222,1327164,275216,125164,-36673,-17037,-30107,148775,14553,2835,2759,2042,77306,120226,120171,120171,4.04,64.052,49.234,4.174,117780080,0.335,-0.076,3.952,41.667,-537455.063,-0.856,-0.21,24.912,4712.66,0.32,-0.0099,0.3089,2.2093,26549738,-0.088,0.2126,1.3346,16038606,-0.066
756,'601218',吉鑫科技,243.719,1.603,0.017,2.585,0.0064,0.0446,0.594,0.859,67.062,-40.51,-9.03,23.012,2.583,382232,87834,121363,256330,58929,4427,-5976,-8416,32838,6926,2318,2410,1699,85182,99176,99176,99176,4.239,77.236,30.917,4.355,27727572,0.602,-0.079,4.118,50,-18162.908,-1.176,-0.3,15.369,1108.832,2.181,-0.2522,0.288,0.5268,5224183,-0.1673,0.2171,0.3508,3479281,-0.21
398,'600558',大西洋  ,300.275,2.455,0.017,2.059,0.0083,-0.0938,0.499,0.461,68.135,29.57,29.54,17.996,2.058,273901,41519,67406,186622,44796,-8422,-7320,-12097,48160,8430,2350,2335,1540,43196,89760,89760,89760,5.214,97.143,43.24,5.269,59251952,-0.258,-0.037,5.136,41.667,1467.91,-0.706,-0.15,11.31,2371.185,2.419,-0.2101,0.2561,1.1149,10007466,-0.1315,0.1922,0.5405,4851124,-0.189
537,'600740',山西焦化,467.03,2.963,0.017,2.68,0.0063,0.11,2.947,-1.559,19.2,113.11,114.67,11.154,2.682,1069519,382417,806158,205344,225612,8656,-2147,-62806,120696,12664,2664,1303,1299,-119383,76570,65683,65683,7.65,188.217,68.808,7.023,96489432,3,0.408,7.8,58.333,2116147.25,1.889,0.56,26.742,3854.475,-0.029,0.0139,0.3342,1.8996,12477463,0.1711,0.386,1.6099,10574267,0.044
471,'600652',游久游戏,552.74,3.573,0.017,2.63,0.0066,0.09,1.07,0.509,89.216,76.24,-30.18,69.021,2.625,245472,2911,26470,219001,89066,7493,-495,-5223,5758,3935,1436,1421,1444,42371,83270,67479,67479,10.1,81.208,18.061,10.901,171586752,-3.821,-0.265,9.756,33.333,-230985.906,-0.523,-1.41,19.126,6861.897,5.284,-0.1932,0.4102,3.2363,21838064,0.0107,0.5139,2.8348,19129168,-0.086
